순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,연령등급,장르,러닝타임,감독,개봉월,계절
109.0,비포 미드나잇,2013-05-22,1488770000.0,0.10%,203940.0,275.0,9504.0,미국,미국,"(주)까멜리아이엔티,(주)팝엔터테인먼트",청소년 관람불가,멜로/로맨스,108.0,리처드 링클레이터,5.0,봄
110.0,응징자,2013-10-30,1388412500.0,0.10%,192347.0,305.0,12023.0,한국,한국,(주)인벤트스톤,청소년 관람불가,액션,103.0,신재호,10.0,가을
111.0,프리즈너스,2013-10-02,1374330500.0,0.10%,188084.0,297.0,7922.0,미국,미국,"(주)넥스트엔터테인먼트월드(NEW),판씨네마(주)",청소년 관람불가,스릴러,153.0,드니 빌뇌브,10.0,가을
112.0,마이 리틀 히어로,2013-01-09,1286203128.0,0.10%,183650.0,341.0,11663.0,한국,한국,(주)씨제이이엔엠,전체 관람가,드라마,135.0,김성훈,1.0,겨울
113.0,해양경찰 마르코,2013-02-14,1151907000.0,0.10%,181740.0,276.0,4674.0,덴마크,덴마크,(주)인벤트스톤,전체 관람가,애니메이션,80.0,얀 라벡,2.0,겨울
114.0,백악관 최후의 날,2013-06-05,1272025000.0,0.10%,181257.0,283.0,9349.0,미국,미국,씨너스엔터테인먼트(주),청소년 관람불가,액션,120.0,안톤 후쿠아,6.0,여름
115.0,명탐정 코난:은빛 날개의 마술사,2013-01-24,1158761500.0,0.10%,176495.0,139.0,3661.0,일본,일본,(주)씨제이이엔엠,전체 관람가,애니메이션,107.0,야마모토 야스이치로,1.0,겨울
116.0,톱스타,2013-10-24,1194185500.0,0.10%,175153.0,397.0,12218.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,15세 관람가,드라마,114.0,박중훈,10.0,가을
117.0,노리개,2013-04-18,1229614500.0,0.10%,169064.0,278.0,11564.0,한국,한국,(주)인벤트스톤,15세 관람가,드라마,102.0,최승호,4.0,봄
118.0,엔더스 게임,2013-12-31,1229288000.0,0.10%,166533.0,460.0,2876.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,12세 관람가,SF,114.0,개빈 후드,12.0,겨울
119.0,니코: 산타비행단의 모험,2012-12-25,1111536500.0,0.10%,164386.0,260.0,4260.0,핀란드,"핀란드,덴마크,아일랜드,독일",씨너스엔터테인먼트(주),전체 관람가,애니메이션,76.0,캐리 주스넌,12.0,겨울
120.0,더 자이언트,2013-02-21,996662000.0,0.10%,157990.0,227.0,4565.0,미국,"미국,태국",(주)마인스 엔터테인먼트,전체 관람가,애니메이션,90.0,프라파스 콜사라논,2.0,겨울
121.0,히든 카드,2013-09-26,1080423651.0,0.10%,151476.0,362.0,10423.0,미국,미국,이십세기폭스코리아(주),청소년 관람불가,범죄,88.0,브래드 퍼맨,9.0,가을
122.0,가문의 영광5 - 가문의 귀환,2012-12-19,1085286000.0,0.10%,147798.0,224.0,6856.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,15세 관람가,코미디,104.0,정용기,12.0,겨울
123.0,안나 카레니나,2013-03-21,989494500.0,0.10%,144351.0,248.0,7651.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),15세 관람가,드라마,130.0,조 라이트,3.0,봄
124.0,링컨,2013-03-14,954242500.0,0.10%,137505.0,214.0,5948.0,미국,미국,이십세기폭스코리아(주),12세 관람가,드라마,150.0,스티븐 스필버그,3.0,봄
125.0,더 퍼지,2013-11-06,1032196000.0,0.10%,137340.0,232.0,6013.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),청소년 관람불가,스릴러,103.0,에베라도 발레리오 구트,11.0,가을
126.0,카운슬러,2013-11-14,966623000.0,0.10%,133272.0,293.0,7740.0,미국,"미국,영국",이십세기폭스코리아(주),청소년 관람불가,스릴러,117.0,리들리 스콧,11.0,가을
127.0,리딕,2013-11-28,927494000.0,0.10%,132059.0,275.0,7468.0,미국,미국,(주)영화사 빅,15세 관람가,SF,118.0,데이빗 토히,11.0,가을
128.0,러시 : 더 라이벌,2013-10-09,931998000.0,0.10%,126994.0,270.0,8129.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,청소년 관람불가,액션,123.0,론 하워드,10.0,가을
129.0,버틀러: 대통령의 집사,2013-11-28,884325000.0,0.10%,126822.0,182.0,4927.0,미국,미국,(주)넥스트엔터테인먼트월드(NEW),15세 관람가,드라마,132.0,리 다니엘스,11.0,가을
130.0,극장판 도라에몽: 진구의 비밀도구 박물관,2013-07-25,780545500.0,0.10%,122172.0,239.0,3555.0,일본,일본,롯데쇼핑㈜롯데엔터테인먼트,전체 관람가,애니메이션,104.0,테라모토 유키요,7.0,여름
