순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,장르,연령등급,러닝타임,감독,개봉월,계절
137.0,모뉴먼츠 맨: 세기의 작전,2014-02-27,534041027.0,0.00%,71483.0,319.0,6244.0,미국,"미국,독일",이십세기폭스코리아(주),액션,12세 관람가,118.0,조지 클루니,2.0,겨울
138.0,인보카머스,2014-08-21,571543200.0,0.00%,69786.0,196.0,3146.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),범죄,청소년 관람불가,118.0,스콧 데릭슨,8.0,여름
139.0,더 퍼지 : 거리의 반란,2014-08-27,455583000.0,0.00%,59881.0,204.0,3512.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),공포,청소년 관람불가,103.0,제임스 드모나코,8.0,여름
140.0,극장판 가면라이더 VS 파워레인저 슈퍼히어로 대전,2014-01-23,405278000.0,0.00%,59611.0,183.0,1952.0,일본,일본,롯데쇼핑㈜롯데엔터테인먼트,액션,전체 관람가,89.0,카네다 오사무,1.0,겨울
141.0,다이애나,2014-03-06,413250100.0,0.00%,58296.0,279.0,5354.0,영국,"영국,프랑스,스웨덴,벨기에",(주)영화사 빅,드라마,15세 관람가,112.0,시몽 리폴-위리에르,3.0,봄
142.0,설계,2014-09-18,347980800.0,0.00%,45726.0,257.0,5465.0,한국,한국,(주)팝엔터테인먼트,스릴러,청소년 관람불가,96.0,올리버 히르비겔,9.0,가을
143.0,울브스,2014-11-13,313204669.0,0.00%,43613.0,291.0,4117.0,미국,미국,(주)프레인글로벌,판타지,15세 관람가,90.0,데이비드 헤이터,11.0,가을
144.0,나쁜 이웃들,2014-07-03,342630700.0,0.00%,42335.0,129.0,2344.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),코미디,청소년 관람불가,96.0,니콜라스 스톨러,7.0,여름
145.0,천국에 다녀온 소년,2014-06-12,300249500.0,0.00%,41957.0,43.0,2095.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),드라마,전체 관람가,100.0,랜달 웰러스,6.0,여름
146.0,백프로,2014-04-03,284106600.0,0.00%,37909.0,236.0,4915.0,한국,한국,(주)마인스 엔터테인먼트,코미디,15세 관람가,109.0,김명균,4.0,봄
147.0,몬스터 왕국,2014-05-01,254708600.0,0.00%,37582.0,160.0,1824.0,스웨덴,"스웨덴,덴마크",씨너스엔터테인먼트(주),애니메이션,전체 관람가,78.0,에스벤 토프트 야콥슨,5.0,봄
148.0,슈퍼노바 지구 탈출기,2014-02-13,245845000.0,0.00%,37547.0,230.0,2043.0,미국,"미국,캐나다",(주)영화사 빅,애니메이션,전체 관람가,89.0,캘런 브런커,2.0,겨울
149.0,꼬마 잠수함 올리 2,2014-12-04,212760700.0,0.00%,33589.0,186.0,1203.0,미국,미국,예지림엔터테인먼트,애니메이션,전체 관람가,72.0,밥 두셋,12.0,겨울
150.0,배틀 오브 비보이,2014-01-09,214900500.0,0.00%,33360.0,80.0,895.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),드라마,12세 관람가,109.0,벤슨 리,1.0,겨울
