,순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,연령등급,장르,러닝타임,감독,개봉월,계절
141,142.0,꿀벌 하치의 대모험,2011-01-13,525369500.0,0.0,79625.0,141.0,3089.0,일본,일본,"(주)박수엔터테인먼트,에이원엔터테인먼트",전체 관람가,애니메이션,95.0,아미노 테츠로,1.0,겨울
142,143.0,회초리,2011-05-19,479093000.0,0.0,74765.0,142.0,4246.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,12세 관람가,코미디,104.0,박광우,5.0,봄
143,144.0,Mr.아이돌,2011-11-03,515508500.0,0.0,74261.0,311.0,8669.0,한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)시너지하우스 (시너지)",12세 관람가,드라마,114.0,라희찬,11.0,가을
144,145.0,로맨틱 헤븐,2011-03-24,542739500.0,0.0,73729.0,260.0,8914.0,한국,한국,(주)시네마서비스,12세 관람가,드라마,117.0,장진,3.0,봄
145,146.0,베니싱,2011-03-31,542044000.0,0.0,73582.0,181.0,7892.0,미국,미국,(주)넥스트엔터테인먼트월드(NEW),청소년 관람불가,드라마,109.0,조지 슬루이저,3.0,봄
146,147.0,돈비 어프레이드 : 어둠 속의 속삭임,2011-08-25,523576000.0,0.0,70798.0,233.0,6851.0,미국,"미국,호주,멕시코",(주)화앤담이엔티,15세 관람가,공포,99.0,트로이 닉시,8.0,여름
147,148.0,극장판 메탈 베이블레이드 VS 태양 작열의 침략자 솔블레이즈,2011-01-05,474061500.0,0.0,70065.0,120.0,2749.0,일본,일본,(주)미디어데이,전체 관람가,애니메이션,76.0,스기시마 쿠니히사,1.0,겨울
148,149.0,미트 페어런츠 3,2011-03-31,517805000.0,0.0,70053.0,196.0,6309.0,미국,미국,(주)씨제이이엔엠,15세 관람가,코미디,98.0,폴 웨이츠,3.0,봄
149,150.0,"사랑한다, 사랑하지 않는다",2011-03-03,508658500.0,0.0,66680.0,80.0,4571.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),15세 관람가,멜로/로맨스,105.0,이윤기,3.0,봄
0,1.0,도둑들,2012-07-25,93664808500.0,0.066,12983178.0,1091.0,155392.0,한국,"한국,홍콩",(주)쇼박스,15세 관람가,범죄,135.0,최동훈,7.0,여름
1,2.0,"광해, 왕이 된 남자",2012-09-13,88899448769.0,0.063,12319390.0,1001.0,203400.0,한국,한국,(주)씨제이이엔엠,15세 관람가,드라마,131.0,추창민,9.0,가을
2,3.0,어벤져스,2012-04-26,59557853478.0,0.042,7074867.0,967.0,109697.0,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,한국소니픽쳐스릴리징브에나비스타영화㈜",12세 관람가,액션,181.0,안소니 루소,4.0,봄
3,4.0,늑대소년,2012-10-31,46590107000.0,0.033,6654390.0,854.0,109069.0,한국,한국,(주)씨제이이엔엠,15세 관람가,멜로/로맨스,125.0,조성희,10.0,가을
4,5.0,다크 나이트 라이즈,2012-07-19,47644838000.0,0.034,6396528.0,1210.0,81254.0,미국,"미국,영국",워너브러더스 코리아(주),15세 관람가,액션,164.0,크리스토퍼 놀란,7.0,여름
5,6.0,바람과 함께 사라지다,2012-08-08,34614661161.0,0.024,4909937.0,694.0,78591.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),12세 관람가,코미디,121.0,김주호,8.0,여름
